id,record_id,reshoot_idx_id,data_type_id,state_id,Date
3607,9386055,1,1,1,23-03-2016 00:15:04:928
3609,9386056,1,1,1,23-03-2016 00:57:03:872
3611,9386057,1,1,1,23-03-2016 00:55:51:760
3613,9386058,1,1,1,23-03-2016 00:54:50:016
3615,9386059,1,1,1,23-03-2016 00:54:00:272
3617,9386060,1,1,1,23-03-2016 00:53:01:808
3621,9386062,1,1,1,23-03-2016 00:50:54:592
3623,9386063,1,1,1,23-03-2016 00:50:10:352
3625,9386064,1,1,1,23-03-2016 00:49:16:096
3627,9386065,1,1,1,23-03-2016 00:48:23:664
3633,9386066,616,1,1,23-03-2016 00:47:30:912
3635,9386067,1,1,1,23-03-2016 00:44:18:352
3637,9386068,1,1,1,23-03-2016 00:43:31:104
3639,9386069,1,1,1,23-03-2016 00:42:48:080
3641,9386158,1,1,1,23-03-2016 00:12:12:656
3643,9386159,1,1,1,23-03-2016 00:59:50:096
3645,9386160,1,1,1,23-03-2016 01:00:39:328
3649,9386161,84,1,1,23-03-2016 01:02:07:664
3651,9386162,1,1,1,23-03-2016 01:02:58:208
3653,9386163,1,1,1,23-03-2016 01:03:49:952
3655,9386164,1,1,1,23-03-2016 01:04:36:288
3657,9386165,1,1,1,23-03-2016 01:05:20:128
3659,9386166,1,1,1,23-03-2016 01:06:15:376
3661,9386167,1,1,1,23-03-2016 01:07:16:816
3663,9386168,1,1,1,23-03-2016 01:08:54:400
3665,9386169,1,1,1,23-03-2016 01:09:51:152
3667,9386302,1,1,1,23-03-2016 01:16:27:392
3669,9386460,1,1,1,23-03-2016 03:36:26:736
3671,9386461,1,1,1,23-03-2016 03:32:02:560
3675,9386463,1,1,1,23-03-2016 03:30:45:792
3677,9386464,1,1,1,23-03-2016 03:30:10:432
3679,9386465,1,1,1,23-03-2016 03:38:09:872
3681,9386570,1,1,1,23-03-2016 01:32:56:736
3683,9386571,1,1,1,23-03-2016 01:32:16:704
3685,9386572,1,1,1,23-03-2016 01:31:40:768
3687,9386573,1,1,1,23-03-2016 01:31:03:328
3689,9386574,1,1,1,23-03-2016 01:30:05:760
3691,9386575,1,1,1,23-03-2016 01:29:21:728
3693,9386576,1,1,1,23-03-2016 01:28:41:792
3695,9386577,1,1,1,23-03-2016 01:26:46:000
3697,9386578,1,1,1,23-03-2016 01:26:07:168
3699,9386675,1,1,1,23-03-2016 01:59:09:760
3701,9386676,1,1,1,23-03-2016 02:00:55:216
3703,9386677,1,1,1,23-03-2016 02:03:05:040
3705,9386678,1,1,1,23-03-2016 02:05:21:136
3707,9386679,1,1,1,23-03-2016 02:05:59:472
3709,9386709,1,1,1,23-03-2016 01:52:41:584
3711,9386710,1,1,1,23-03-2016 01:52:01:856
3713,9386711,1,1,1,23-03-2016 01:51:18:816
3715,9387032,1,1,1,23-03-2016 03:17:53:600
3717,9387033,1,1,1,23-03-2016 03:17:18:048
3719,9387034,1,1,1,23-03-2016 03:16:42:048
3721,9387035,1,1,1,23-03-2016 03:16:01:408
3725,9387071,1,1,1,23-03-2016 02:44:22:016
3727,9387072,1,1,1,23-03-2016 02:43:09:328
3729,9387073,1,1,1,23-03-2016 02:40:53:808
3731,9387074,1,1,1,23-03-2016 02:39:59:536
3733,9387075,1,1,1,23-03-2016 02:38:04:880
3735,9387181,1,1,1,23-03-2016 03:00:29:792
3737,9387182,1,1,1,23-03-2016 02:59:18:624
3739,9387183,1,1,1,23-03-2016 02:58:08:880
3741,9387184,1,1,1,23-03-2016 02:57:19:344
3743,9387185,1,1,1,23-03-2016 02:56:37:312
3745,9387186,1,1,1,23-03-2016 02:55:48:064
3747,9387371,1,1,1,23-03-2016 02:48:43:136
3749,9387372,1,1,1,23-03-2016 02:49:33:680
3751,9387373,1,1,1,23-03-2016 02:50:30:384
3755,9387374,84,1,1,23-03-2016 02:52:21:008
3757,9387375,1,1,1,23-03-2016 02:53:15:760
3759,9387770,1,1,1,23-03-2016 02:41:53:184
3761,9387771,1,1,1,23-03-2016 02:42:51:328
3763,9387772,1,1,1,23-03-2016 02:43:29:488
3765,9387773,1,1,1,23-03-2016 02:44:04:016
3767,9388420,1,1,1,23-03-2016 06:49:46:592
3769,9388421,1,1,1,23-03-2016 06:48:58:256
3771,9388422,1,1,1,23-03-2016 06:48:14:624
3773,9388423,1,1,1,23-03-2016 06:47:32:992
3775,9388424,1,1,1,23-03-2016 06:46:50:752
3777,9388425,1,1,1,23-03-2016 06:46:10:320
3779,9388426,1,1,1,23-03-2016 06:45:28:192
3781,9388427,1,1,1,23-03-2016 06:44:47:056
3783,9388428,1,1,1,23-03-2016 06:44:08:336
3785,9388429,1,1,1,23-03-2016 06:43:18:272
3787,9388502,1,1,1,23-03-2016 07:09:39:536
3789,9388503,1,1,1,23-03-2016 07:08:59:680
3791,9388504,1,1,1,23-03-2016 07:08:05:904
3793,9388505,1,1,1,23-03-2016 07:07:27:280
3795,9388506,1,1,1,23-03-2016 07:06:49:744
3797,9388507,1,1,1,23-03-2016 07:06:06:816
3799,9388508,1,1,1,23-03-2016 07:05:11:072
3801,9388559,1,1,1,23-03-2016 07:11:08:000
3803,9388560,1,1,1,23-03-2016 07:12:06:048
3807,9388562,1,1,1,23-03-2016 07:13:37:024
3809,9388563,1,1,1,23-03-2016 07:14:49:072
3813,9388565,1,1,1,23-03-2016 07:16:12:448
3815,9388566,1,1,1,23-03-2016 07:23:27:808
3817,9388567,1,1,1,23-03-2016 07:24:10:432
3819,9388568,1,1,1,23-03-2016 07:24:52:080
3821,9388569,1,1,1,23-03-2016 07:25:36:704
3823,9388570,1,1,1,23-03-2016 07:26:13:120
3825,9388571,1,1,1,23-03-2016 07:26:56:160
3827,9388572,1,1,1,23-03-2016 07:17:51:536
3829,9388641,1,1,1,23-03-2016 08:19:04:128
3831,9388642,1,1,1,23-03-2016 08:17:24:752
3833,9388643,1,1,1,23-03-2016 08:16:47:120
3835,9388644,1,1,1,23-03-2016 08:16:08:992
3837,9388645,1,1,1,23-03-2016 08:15:31:056
3839,9388646,1,1,1,23-03-2016 08:14:53:616
3841,9388647,1,1,1,23-03-2016 08:14:11:184
3843,9388648,1,1,1,23-03-2016 07:48:15:456
3847,9388650,1,1,1,23-03-2016 07:46:35:376
3849,9388651,1,1,1,23-03-2016 07:45:57:248
3851,9388652,1,1,1,23-03-2016 07:45:21:712
3853,9388653,1,1,1,23-03-2016 07:44:41:568
3855,9388654,1,1,1,23-03-2016 07:42:48:784
3857,9388655,1,1,1,23-03-2016 07:41:58:336
3859,9388656,1,1,1,23-03-2016 07:41:07:024
3861,9388657,1,1,1,23-03-2016 07:40:20:288
3863,9388658,1,1,1,23-03-2016 07:39:24:336
3865,9388659,1,1,1,23-03-2016 07:37:57:088
3867,9388660,1,1,1,23-03-2016 07:37:07:520
3869,9388661,1,1,1,23-03-2016 07:36:16:304
3871,9388662,1,1,1,23-03-2016 07:35:31:360
3873,9388686,1,1,1,23-03-2016 08:04:53:008
3875,9388687,1,1,1,23-03-2016 08:05:47:008
3877,9388688,1,1,1,23-03-2016 08:06:41:008
3879,9388689,1,1,1,23-03-2016 08:07:20:512
3881,9388690,1,1,1,23-03-2016 07:15:54:448
3883,9388691,1,1,1,23-03-2016 07:14:31:072
3885,9388692,1,1,1,23-03-2016 07:18:54:768
3887,9388693,1,1,1,23-03-2016 07:18:09:536
3889,9388694,1,1,1,23-03-2016 07:08:41:680
3891,9388695,1,1,1,23-03-2016 07:10:02:752
3893,9388696,1,1,1,23-03-2016 07:10:42:784
3895,9388844,1,1,1,23-03-2016 08:54:11:872
3897,9388845,1,1,1,23-03-2016 08:55:08:704
3899,9388846,1,1,1,23-03-2016 08:55:48:128
3901,9388847,1,1,1,23-03-2016 09:08:32:144
3903,9388848,1,1,1,23-03-2016 09:09:19:792
3905,9388849,1,1,1,23-03-2016 09:09:57:824
